Longitude,Latitude,Chl a Dec-Mar
-146.5,-42,0.1225
-87.5,-50,0.1226
-106.5,-44,0.1227
-83.5,-40.5,0.1227
-83.5,-41,0.1228
-139.5,-43,0.1229
-108.5,-43,0.123
-103.5,-47.5,0.1231
-90.5,-51,0.1231
-84.5,-42.5,0.1231
-130.5,-42,0.1232
-94.5,-50.5,0.1232
-87.5,-50.5,0.1232
-106.5,-44.5,0.1233
-99.5,-49.5,0.1233
-139.5,-42.5,0.1234
-85.5,-43,0.1234
-116.5,-42,0.1235
-89.5,-50,0.1235
-115.5,-42,0.1236
-89.5,-50.5,0.1236
-110.5,-42.5,0.1237
-123.5,-41.5,0.1238
-129.5,-42,0.1239
-117.5,-42,0.1239
-88.5,-50.5,0.1239
-88.5,-49.5,0.124
-86.5,-49,0.124
-167.5,-40.5,0.1242
-132.5,-43,0.1242
-96.5,-50.5,0.1243
-95.5,-50.5,0.1243
-105.5,-45,0.1244
-84.5,-46,0.1244
-83.5,-40,0.1244
-104.5,-46,0.1245
-84.5,-43,0.1245
-104.5,-46.5,0.1246
-156.5,-41.5,0.1247
-147.5,-42,0.1247
-141.5,-42.5,0.1247
-102.5,-48,0.1247
-101.5,-49,0.1247
-148.5,-42,0.1248
-166.5,-40.5,0.1249
-131.5,-42.5,0.1249
-104.5,-47,0.1249
-87.5,-51,0.1249
-113.5,-42.5,0.125
-84.5,-47,0.125
-128.5,-41.5,0.1251
-103.5,-48,0.1252
-100.5,-49.5,0.1252
-92.5,-51,0.1252
-111.5,-42.5,0.1253
-150.5,-41.5,0.1254
-140.5,-43,0.1255
-138.5,-42.5,0.1256
-126.5,-42,0.1256
-125.5,-42,0.1257
-138.5,-43,0.1259
-86.5,-50.5,0.1259
-159.5,-41,0.1262
-88.5,-51,0.1262
-114.5,-42.5,0.1263
-93.5,-51,0.1263
-120.5,-42,0.1264
-85.5,-48.5,0.1264
-102.5,-48.5,0.1265
-83.5,-41.5,0.1266
-99.5,-50,0.1267
-110.5,-43,0.1268
-107.5,-44,0.1268
-94.5,-51,0.1268
-89.5,-51,0.1268
-165.5,-40.5,0.1269
-85.5,-48,0.1269
-128.5,-42.5,0.1271
-88.5,-51.5,0.1271
-135.5,-44.5,0.1272
-106.5,-45,0.1272
-109.5,-43,0.1273
-105.5,-47,0.1273
-104.5,-47.5,0.1273
-124.5,-42,0.1274
-87.5,-51.5,0.1274
-105.5,-45.5,0.1276
-84.5,-45.5,0.1276
-84.5,-45,0.1276
-139.5,-43.5,0.1277
-134.5,-43,0.1277
-107.5,-44.5,0.1277
-162.5,-40.5,0.1279
-145.5,-42,0.1279
-118.5,-42,0.1279
-155.5,-41.5,0.128
-84.5,-43.5,0.1281
-128.5,-42,0.1283
-114.5,-43,0.1283
-106.5,-47,0.1283
-64.5,-60.5,0.1283
-97.5,-50.5,0.1284
-137.5,-43,0.1285
-115.5,-42.5,0.1285
-65.5,-60.5,0.1286
-136.5,-43,0.1287
-131.5,-43,0.1287
-128.5,-44.5,0.129
-129.5,-42.5,0.1291
-103.5,-48.5,0.1291
-84.5,-44.5,0.1292
-154.5,-41.5,0.1293
-138.5,-43.5,0.1293
-132.5,-43.5,0.1293
-143.5,-42,0.1294
-128.5,-44,0.1294
-105.5,-46.5,0.1294
-169.5,-40,0.1295
-101.5,-49.5,0.1295
-135.5,-44,0.1297
-112.5,-43,0.1297
-129.5,-44,0.1298
-107.5,-45,0.1298
-105.5,-47.5,0.1298
-92.5,-51.5,0.1299
